1,2,3,4,5
1143.04306,1234.31362,1172.86367,1167.84576,1256.73192
993.78888,1120.05519,1055.61424,1064.83822,1113.95917
5.06147,6.25921,5.44493,5.15261,5.65307
2.55239,2.73512,2.70173,2.5043,2.55304
1.6428,1.62667,1.67824,1.53762,1.61737
1.43936,1.43938,1.45493,1.3846,1.4531
1.33846,1.3162,1.33687,1.27661,1.32821
1.27125,1.26755,1.27236,1.2352,1.28306
1.23348,1.2001,1.23023,1.17365,1.1978
1.196,1.17649,1.20366,1.14981,1.18632
1.32077,1.33211,1.42506,1.38775,1.27233
1.17611,1.17859,1.19087,1.18481,1.12593
1.13674,1.14703,1.12873,1.13068,1.09119
1.09402,1.12714,1.10892,1.1154,1.07214
1.07802,1.11944,1.09977,1.10989,1.06594
1.07185,1.10558,1.09334,1.10524,1.06137
1.06888,1.10151,1.08917,1.10231,1.05872
1.06706,1.09943,1.08182,1.09181,1.05392
1.06511,1.09813,1.07688,1.09078,1.05178
1.06363,1.09723,1.07558,1.08995,1.05029
1.18956,1.15832,1.2122,1.16305,1.16829
1.11986,1.08868,1.13375,1.09792,1.10147
1.09311,1.06611,1.11058,1.07358,1.08223
1.085,1.05834,1.10276,1.06597,1.07617
1.08289,1.05601,1.10062,1.06408,1.07424
1.08159,1.05478,1.09942,1.06302,1.07307
1.08001,1.05254,1.09753,1.0612,1.07181
1.0787,1.05088,1.09614,1.05965,1.07093
1.07783,1.05019,1.09558,1.05917,1.06772
1.07714,1.0496,1.09503,1.05833,1.06695
1.1785,1.16449,1.17709,1.21416,1.16747
1.09936,1.09891,1.11124,1.12144,1.1045
1.07661,1.07563,1.09069,1.08565,1.07854
1.0694,1.06948,1.08368,1.07659,1.07005
1.06757,1.06782,1.08136,1.07455,1.06778
1.06645,1.06656,1.0803,1.07343,1.06691
1.06559,1.0658,1.07871,1.07183,1.06549
1.06489,1.06515,1.07735,1.07075,1.06466
1.06429,1.06462,1.07684,1.0704,1.0643
1.06375,1.06418,1.07641,1.06816,1.06387
1.1564,1.15654,1.16724,1.15615,1.16913
1.09271,1.09275,1.10349,1.08728,1.11301
1.06917,1.06944,1.07827,1.06434,1.09079
1.06288,1.06191,1.07048,1.05637,1.08317
1.06118,1.0603,1.06855,1.05472,1.08061
1.0603,1.05939,1.06761,1.05379,1.07973
1.05931,1.05872,1.06491,1.05322,1.07828
1.05854,1.0581,1.06435,1.05191,1.07721
1.05677,1.05762,1.06337,1.05113,1.07663
1.05631,1.05626,1.06255,1.05036,1.07619
1.16448,1.17301,1.13387,1.13908,1.16297
1.10442,1.1109,1.06802,1.08383,1.09283
1.08239,1.09041,1.04563,1.06738,1.06349
1.07567,1.08325,1.03892,1.06143,1.05452
1.07396,1.08127,1.03725,1.05869,1.05191
1.07304,1.08015,1.0365,1.05747,1.051
1.07222,1.07936,1.03483,1.05641,1.04975
1.07164,1.07853,1.03399,1.05575,1.04894
1.07095,1.07789,1.03361,1.05529,1.04817
1.07042,1.07576,1.0333,1.05438,1.04751
1.14941,1.12848,1.13158,1.12847,1.14717
1.09956,1.08098,1.08344,1.085,1.09722
1.08172,1.06075,1.0673,1.07537,1.07882
1.07706,1.05365,1.06195,1.07016,1.07352
1.07566,1.05241,1.06034,1.06829,1.07216
1.0739,1.05119,1.05963,1.06733,1.07148
1.07313,1.05049,1.05803,1.06647,1.07047
1.07247,1.05016,1.05739,1.06587,1.06992
1.07203,1.04952,1.0571,1.06491,1.06948
1.07065,1.04868,1.05668,1.06403,1.06917
1.14285,1.1604,1.13562,1.12735,1.1476
1.0842,1.09884,1.07572,1.0722,1.08427
1.06014,1.07475,1.05557,1.05287,1.05631
1.05268,1.06681,1.04965,1.04616,1.04862
1.05107,1.06485,1.04808,1.04479,1.04712
1.05015,1.06414,1.04734,1.04401,1.04627
1.04956,1.06263,1.04521,1.04356,1.04564
1.04893,1.06212,1.04485,1.04221,1.04521
1.04841,1.06148,1.04401,1.04171,1.04467
1.047,1.06112,1.04354,1.04146,1.04424
1.13835,1.14254,1.18651,1.13603,1.14668
1.08689,1.08277,1.12743,1.08053,1.08572
1.07049,1.05973,1.10131,1.05924,1.06305
1.06481,1.05302,1.09401,1.0523,1.05621
1.06341,1.05164,1.09223,1.05093,1.05448
1.0627,1.05099,1.09137,1.05004,1.05384
1.062,1.05045,1.09044,1.04952,1.05268
1.06154,1.0501,1.08988,1.04799,1.05216
1.06008,1.04983,1.08808,1.04755,1.05177
1.05976,1.04938,1.08781,1.04723,1.05152
1.11574,1.16966,1.14654,1.12305,1.13535
1.06073,1.10374,1.08674,1.06894,1.08092
1.04146,1.08007,1.06382,1.04882,1.06221
1.03599,1.07247,1.05776,1.04294,1.05728
1.03475,1.07063,1.05618,1.04186,1.05611
1.03403,1.06988,1.05553,1.04111,1.05482
1.03346,1.069,1.05352,1.04068,1.0543
1.03305,1.06844,1.0531,1.03936,1.05386
1.0326,1.06733,1.05284,1.03912,1.05358
1.03222,1.06685,1.05212,1.03888,1.05324
1.14658,1.12907,1.15374,1.17573,1.13024
1.09324,1.07092,1.09069,1.12057,1.07637
1.07001,1.05149,1.06442,1.09963,1.05459
1.06335,1.04541,1.0559,1.09315,1.0477
1.06187,1.04418,1.0538,1.09177,1.04524
1.06111,1.04345,1.05313,1.09091,1.04462
1.06055,1.04298,1.05234,1.09044,1.04354
1.06005,1.04199,1.05186,1.08892,1.04291
1.05972,1.04118,1.05161,1.08853,1.04269
1.05806,1.04096,1.05129,1.08823,1.0425
1.15502,1.14014,1.12109,1.14338,1.18749
1.10055,1.088,1.06438,1.08132,1.09098
1.07896,1.06662,1.04591,1.0582,1.06847
1.07253,1.05969,1.04037,1.0508,1.0618
1.07118,1.05821,1.03917,1.04913,1.06049
1.06997,1.05748,1.03851,1.0483,1.05944
1.06939,1.05655,1.03775,1.04772,1.05894
1.06778,1.05597,1.03731,1.04721,1.05761
1.0675,1.05552,1.0367,1.04684,1.05724
1.06712,1.05519,1.03636,1.04589,1.05626
1.13108,1.16697,1.13071,1.12541,1.11958
1.08267,1.11487,1.08381,1.07341,1.06618
1.06922,1.09443,1.06519,1.05787,1.04657
1.06456,1.08865,1.05983,1.05232,1.04116
1.06296,1.08724,1.05865,1.0503,1.03986
1.06224,1.08652,1.05786,1.04954,1.03928
1.06154,1.08592,1.05742,1.04851,1.03776
1.06112,1.08556,1.05706,1.04791,1.03743
1.05981,1.08507,1.0568,1.04719,1.03679
1.05956,1.08474,1.05658,1.04671,1.03645
1.1448,1.14833,1.12484,1.1527,1.1357
1.08942,1.08829,1.06687,1.08674,1.0681
1.06794,1.06734,1.04482,1.06003,1.04477
1.06198,1.06128,1.03815,1.05342,1.03807
1.05977,1.05989,1.03643,1.05189,1.03686
1.05916,1.05918,1.03591,1.05119,1.03613
1.05849,1.05784,1.03533,1.04946,1.03565
1.05801,1.05712,1.03499,1.04904,1.03529
1.05749,1.05691,1.03478,1.04878,1.03496
1.05703,1.05593,1.03449,1.04848,1.03467
1.14888,1.14046,1.1514,1.15959,1.12973
1.09109,1.07816,1.09335,1.09791,1.07597
1.07021,1.0535,1.07412,1.07767,1.05603
1.06468,1.04485,1.06702,1.0717,1.05008
1.06343,1.0424,1.06533,1.07026,1.0489
1.06282,1.04164,1.0647,1.06944,1.04806
1.06196,1.04107,1.06413,1.06885,1.0476
1.06142,1.04068,1.06379,1.06825,1.04693
1.06124,1.04038,1.06333,1.06781,1.04653
1.06033,1.03892,1.06306,1.06623,1.04548
1.12811,1.10234,1.14352,1.14698,1.14551
1.0758,1.05144,1.08115,1.08342,1.08759
1.05802,1.03052,1.05873,1.05891,1.06477
1.05222,1.02408,1.0515,1.0516,1.05741
1.05061,1.02271,1.0502,1.05,1.05549
1.05009,1.02212,1.04942,1.04926,1.05482
1.04929,1.02087,1.04897,1.04871,1.05407
1.04884,1.0206,1.04789,1.04833,1.05364
1.04863,1.02041,1.04748,1.04806,1.05251
1.04843,1.02028,1.04681,1.04744,1.05228
1.11188,1.13078,1.13846,1.13313,1.13726
1.06066,1.072,1.07733,1.07314,1.07759
1.04309,1.05024,1.05235,1.05212,1.05677
1.03696,1.04404,1.04607,1.0457,1.05116
1.03554,1.04281,1.0446,1.04378,1.04982
1.03497,1.04193,1.04398,1.04331,1.04909
1.03371,1.04153,1.04251,1.04262,1.04831
1.0333,1.04043,1.04214,1.0423,1.0479
1.03302,1.04007,1.04174,1.04211,1.04754
1.03286,1.03935,1.04151,1.04121,1.0473
1.12038,1.12958,1.1245,1.10928,1.14619
1.06464,1.07646,1.06645,1.05737,1.09124
1.04576,1.05785,1.04561,1.03794,1.07077
1.04091,1.05209,1.03907,1.03223,1.06561
1.03961,1.05051,1.03753,1.03071,1.06451
1.03893,1.0499,1.03694,1.03012,1.06384
1.03803,1.04846,1.03556,1.02876,1.06342
1.03759,1.04804,1.03515,1.02827,1.06296
1.03728,1.04768,1.0349,1.02801,1.06269
1.03704,1.04737,1.03473,1.02784,1.06165
1.09514,1.1296,1.12153,1.11678,1.10964
1.05086,1.08433,1.07761,1.06888,1.06123
1.03708,1.06471,1.05956,1.05561,1.04284
1.03349,1.05902,1.05332,1.05122,1.03745
1.03237,1.05778,1.05102,1.04969,1.03663
1.03187,1.05724,1.05066,1.04913,1.03567
1.03034,1.05659,1.05038,1.04835,1.03528
1.03006,1.05628,1.04928,1.04799,1.03465
1.02993,1.05599,1.04897,1.04781,1.03437
1.02956,1.05579,1.04884,1.04672,1.03396
1.12985,1.12863,1.12896,1.15651,1.14737
1.07172,1.07029,1.07053,1.09363,1.08741
1.05489,1.04881,1.04828,1.07067,1.06741
1.04792,1.04297,1.04133,1.06321,1.06158
1.0453,1.04175,1.03974,1.06152,1.06026
1.04463,1.04101,1.03898,1.06063,1.05952
1.04356,1.04052,1.03859,1.0602,1.05902
1.04311,1.04021,1.03716,1.059,1.05863
1.04279,1.03911,1.03693,1.05878,1.05832
1.04258,1.03889,1.03678,1.05853,1.05781
1.14097,1.1362,1.12135,1.12245,1.13784
1.08696,1.07852,1.063,1.06967,1.07672
1.06565,1.05898,1.04102,1.05384,1.05682
1.05899,1.05344,1.03472,1.04849,1.05113
1.05766,1.05212,1.03315,1.04701,1.04847
1.05692,1.05149,1.03243,1.04644,1.04778
1.05648,1.04967,1.03114,1.04488,1.04732
1.05504,1.04931,1.03062,1.04459,1.04686
1.05484,1.04891,1.03038,1.04435,1.04658
1.05404,1.0487,1.03003,1.04419,1.04559
1.12403,1.1191,1.13107,1.09496,1.11414
1.06735,1.06501,1.08042,1.04172,1.06022
1.04625,1.04999,1.06407,1.02374,1.04426
1.03978,1.04521,1.05925,1.0188,1.03953
1.0384,1.04346,1.05834,1.01743,1.03812
1.03783,1.04267,1.0573,1.01691,1.03744
1.03653,1.04124,1.05678,1.01555,1.03653
1.03633,1.04073,1.05657,1.01511,1.03595
1.03615,1.04047,1.05557,1.01466,1.03543
1.03574,1.04021,1.05547,1.01447,1.035
1.1265,1.11679,1.11453,1.13386,1.12229
1.07743,1.06262,1.06291,1.07926,1.07004
1.06321,1.04138,1.04767,1.05612,1.0524
1.05816,1.03616,1.04342,1.0494,1.04669
1.05597,1.03497,1.04221,1.04811,1.0455
1.05535,1.03444,1.04155,1.04755,1.04485
1.05421,1.03314,1.03981,1.04705,1.04446
1.05361,1.03286,1.0394,1.04672,1.04352
1.05324,1.03274,1.03915,1.04581,1.04305
1.05301,1.03256,1.03895,1.04569,1.0429
1.124,1.1359,1.13321,1.12976,1.12806
1.07144,1.07989,1.08179,1.07778,1.0715
1.05312,1.05838,1.06496,1.06201,1.05027
1.04895,1.05214,1.05993,1.05733,1.04518
1.04767,1.05059,1.05837,1.05645,1.04414
1.04713,1.04987,1.05779,1.05531,1.04348
1.0456,1.04918,1.05604,1.05463,1.04306
1.04523,1.04883,1.05573,1.05442,1.04242
1.04508,1.04777,1.05496,1.05412,1.04181
1.04495,1.04753,1.05464,1.05395,1.04163
